% X-coord, Y-coord, Polarization, wavelength, type, deviceID, params 
8606, 4190, TE, 1550, PCM, PCM_Bragg_C__1000N315nmPeriod500nmW20nmdW0Apo
8536, 4126, TE, 1550, device, PCM_Bragg_C__1000N318nmPeriod500nmW20nmdW0Apo
8606, 4126, TE, 1550, device, PCM_Bragg_C__1000N316nmPeriod500nmW20nmdW0Apo
8326, 4190, TE, 1550, PCM, PCM_Bragg_C__1000N323nmPeriod500nmW20nmdW0Apo
8676, 4126, TE, 1550, device, PCM_Bragg_C__1000N314nmPeriod500nmW20nmdW0Apo
8466, 4190, TE, 1550, PCM, PCM_Bragg_C__1000N319nmPeriod500nmW20nmdW0Apo
8536, 4190, TE, 1550, PCM, PCM_Bragg_C__1000N317nmPeriod500nmW20nmdW0Apo
7606, 754, TE, 1310, PCM, PCMcontraDCcascaded3_1
7709, 754, TE, 1310, PCM, PCMcontraDCcascaded5_1
7526, 754, TE, 1310, PCM, PCMcontraDCcascaded1_1
8276, 3703, TE, 1310, PCM, PCM_DC_Length3p00um
8196, 3767, TE, 1310, PCM, PCM_DC_Length4p00um
8036, 3767, TE, 1310, PCM, PCM_DC_Length8p00um
8276, 3767, TE, 1310, PCM, PCM_DC_Length2p00um
8356, 3767, TE, 1310, PCM, PCM_DC_Length0p00um
8356, 3703, TE, 1310, PCM, PCM_DC_Length1p00um
8116, 3703, TE, 1310, PCM, PCM_DC_Length7p00um
8116, 3767, TE, 1310, PCM, PCM_DC_Length6p00um
7956, 3767, TE, 1310, PCM, PCM_DC_Length10p00um
8196, 3703, TE, 1310, PCM, PCM_DC_Length5p00um
8036, 3703, TE, 1310, PCM, PCM_DC_Length9p00um
8115, 3167, TE, 1550, PCM, PCM_DC_Length6p00um_1
8275, 3167, TE, 1550, PCM, PCM_DC_Length2p00um_1
8355, 3104, TE, 1550, PCM, PCM_DC_Length1p00um_1
8035, 3104, TE, 1550, PCM, PCM_DC_Length9p00um_1
8195, 3167, TE, 1550, PCM, PCM_DC_Length4p00um_1
8355, 3167, TE, 1550, PCM, PCM_DC_Length0p00um_1
8115, 3104, TE, 1550, PCM, PCM_DC_Length7p00um_1
7955, 3167, TE, 1550, PCM, PCM_DC_Length10p00um_1
8275, 3104, TE, 1550, PCM, PCM_DC_Length3p00um_1
8195, 3104, TE, 1550, PCM, PCM_DC_Length5p00um_1
8035, 3167, TE, 1550, PCM, PCM_DC_Length8p00um_1
8212, 5039, TE, 1310, PCM, PCM_Ycutbacks_N56
8611, 5039, TE, 1310, PCM, PCM_Ycutbacks_N0
8212, 4874, TE, 1310, PCM, PCM_Ycutbacks_N112
7852, 626, TE, 1310, PCM, PCM_ringTE_3
7917, 626, TE, 1310, PCM, PCM_ringTE_4
7982, 626, TE, 1310, PCM, PCM_ringTE_5
8047, 626, TE, 1310, PCM, PCM_ringTE_6
8112, 626, TE, 1310, PCM, PCM_ringTE_7
8177, 626, TE, 1310, PCM, PCM_ringTE_8
8242, 626, TE, 1310, PCM, PCM_ringTE_9
8307, 626, TE, 1310, PCM, PCM_ringTE_10
8212, 4702, TE, 1550, PCM, PCM_Ycutbacks_N56_1
8611, 4702, TE, 1550, PCM, PCM_Ycutbacks_N0_1
8212, 4537, TE, 1550, PCM, PCM_Ycutbacks_N112_1
7963, 1616, TM, 1310, PCM, PCM_StraightLongWGloss40521TM
7963, 1437, TM, 1310, PCM, PCM_StraightLongWGloss10304TM
8699, 1437, TM, 1310, PCM, PCM_StraightLongWGloss0TM
8233, 1437, TM, 1310, PCM, PCM_StraightLongWGloss20504TM
7963, 1071, TE, 1310, PCM, PCM_StraightLongWGloss10304TE
8699, 1071, TE, 1310, PCM, PCM_StraightLongWGloss0TE
8233, 1071, TE, 1310, PCM, PCM_StraightLongWGloss20504TE
7963, 1251, TE, 1310, PCM, PCM_StraightLongWGloss40521TE
7900, 1874, TM, 1310, PCM, PCM_SpiralWG5042TM
